Date,EBITDA
2022-06-30,24513
2022-03-31,24137
2021-12-31,25743
2021-09-30,23450
2021-06-30,22439
2021-03-31,19984
2020-12-31,20658
2020-09-30,18521
2020-06-30,16911
2020-03-31,16093
2019-12-31,17094
2019-09-30,15657
2019-06-30,15329
2019-03-31,13267
2018-12-31,13253
2018-09-30,12792
2018-06-30,12895
2018-03-31,11002
2017-12-31,11215
2017-09-30,10207
2017-06-30,10025
2017-03-31,9176
2016-12-31,10071
2016-09-30,8531
2016-06-30,11516
2016-03-31,6990
2015-12-31,7570
2015-09-30,7254
2015-06-30,6938
2015-03-31,8109
2014-12-31,9297
2014-09-30,7272
2014-06-30,8224
2014-03-31,8229
2013-12-31,9230
2013-09-30,7288
2013-06-30,7056
2013-03-31,8665
2012-12-31,8780
2012-09-30,6018
2012-06-30,7182
2012-03-31,7140
2011-12-31,8672
2011-09-30,7929
2011-06-30,6860
2011-03-31,6429
2010-12-31,8828
2010-09-30,7810
2010-06-30,6648
2010-03-31,5867
2009-12-31,9128
2009-09-30,5128
2009-06-30,4668
2009-03-31,5102
